SOC,OCV[V],Temperature_degC
-0.01,2.99,5
0.11910654146137278,3.4714,5
0.12836845791528695,3.4762,5
0.14041475550240656,3.4827,5
0.157915971076396,3.4945,5
0.19615679292929833,3.5268,5
0.22274666467172255,3.5475,5
0.26365451938131657,3.5745,5
0.30456236011363846,3.5958,5
0.34547045933080966,3.6129,5
0.38637838945707215,3.627,5
0.4272863920454545,3.6402,5
0.46819441252525185,3.6543,5
0.5091020672601007,3.671,5
0.5500100854040403,3.6928,5
0.5909180025252527,3.7239,5
0.6318258850631322,3.7681,5
0.6727333711868693,3.8179,5
0.7136409843939404,3.863,5
0.7545492485227274,3.906,5
0.795457113320707,3.9486,5
0.8363652340782824,3.9923,5
0.8772732780303025,4.0379,5
0.9181823951767676,4.0838,5
0.9590913777904041,4.1284,5
1.0,4.1734,5
1.01,4.21,5
-0.01,2.99,10
0.08453398767298581,3.4548,10
0.09550056352197545,3.4634,10
0.11101304586667227,3.4721,10
0.14090147868106473,3.4901,10
0.18181363742424428,3.5238,10
0.2227232765530328,3.5556,10
0.26363276329545715,3.5813,10
0.30454188238636515,3.6025,10
0.3454512446338398,3.619,10
0.38636029387626325,3.6323,10
0.42726990825757605,3.6454,10
0.4681793665277779,3.66,10
0.5090883127651524,3.6779,10
0.5499975130681831,3.7017,10
0.59090684689394,3.7353,10
0.6318162476388889,3.7815,10
0.6727254873611108,3.8309,10
0.7136345126262622,3.8753,10
0.754543852007575,3.9179,10
0.7954532253661609,3.9603,10
0.8363625162752518,4.0039,10
0.8772720502398985,4.0493,10
0.9181811359974746,4.0946,10
0.9590904941287879,4.1385,10
1.0,4.1817,10
1.01,4.21,10
-0.01,2.99,15
0.07367968600418673,3.4146,15
0.08481707032350416,3.4432,15
0.10146635226554823,3.4625,15
0.14090153332387856,3.4849,15
0.18181403030304344,3.5177,15
0.2227230987373855,3.5505,15
0.2636323364520313,3.5768,15
0.3045415305555661,3.6003,15
0.3454507272979884,3.6179,15
0.38635977369950136,3.6309,15
0.42726923271465256,3.6434,15
0.4681784959848554,3.6573,15
0.5090879165404102,3.674,15
0.5499976953914196,3.6957,15
0.5909073301893986,3.7271,15
0.6318169893686902,3.7746,15
0.6727265283964667,3.8215,15
0.7136359536742438,3.8641,15
0.7545454857575762,3.9065,15
0.7954544525883839,3.9493,15
0.83636361405303,3.9931,15
0.8772730118560601,4.0383,15
0.9181822057449492,4.0839,15
0.959091139280303,4.1282,15
1.0,4.1714,15
1.01,4.21,15
-0.01,2.99,25
0.05225670231565871,3.3803,25
0.06623422410858792,3.4247,25
0.09998515362967308,3.4682,25
0.14089537012108666,3.4915,25
0.18180499933080985,3.5277,25
0.22271374780303244,3.5589,25
0.2636228191540412,3.5839,25
0.30453189608585884,3.6082,25
0.3454415793181821,3.6243,25
0.38635090678030193,3.6365,25
0.4272608022095945,3.6487,25
0.4681707970833334,3.6623,25
0.5090810111237375,3.6788,25
0.5499914422222225,3.7006,25
0.5909014727020202,3.7344,25
0.631811462386363,3.7852,25
0.672721549911615,3.8262,25
0.7136309619444439,3.8673,25
0.7545402949494944,3.9092,25
0.795449519924242,3.9512,25
0.8363587261616159,3.9943,25
0.8772687884217171,4.0392,25
0.918179241590909,4.085,25
0.959089780530303,4.1301,25
1.0,4.1756,25
1.01,4.21,25
-0.01,2.99,40
0.029980287815031037,3.2263,40
0.05907243837727649,3.3758,40
0.09998337152373737,3.4676,40
0.14089336541742448,3.4891,40
0.18180329065656564,3.5222,40
0.22271303547979848,3.5536,40
0.26362297739899143,3.5774,40
0.3045332265530315,3.6003,40
0.3454435685479801,3.6249,40
0.386353947171716,3.6386,40
0.4272642244823208,3.651,40
0.46817442371211837,3.6649,40
0.5090842727777753,3.6816,40
0.5499939454419172,3.7032,40
0.5909033393181801,3.7342,40
0.6318123728282816,3.7838,40
0.6727214156944437,3.8286,40
0.7136308639015148,3.8716,40
0.7545404406944444,3.9136,40
0.7954501337878788,3.9555,40
0.8363597637121212,3.9984,40
0.877269767159091,4.0432,40
0.9181798442297981,4.0886,40
0.9590898246717172,4.1327,40
1.0,4.1751,40
1.01,4.21,40
